co,no,no2,o3,so2,pm25,pm10,nh3,aqi
2830.02,2.79,37.68,46.21,6.77,11.45,24.08,4.57,47.69
615.77,3.76,34.87,19.47,19.93,53.18,88.48,3.85,144.41
1133.5,0.92,32.69,18.77,2.82,13.2,29.53,8.31,52.37
1006.87,28.6,22.03,21.8,50.51,156.01,281.01,14.58,205.52
3390.04,0.79,56.03,52.67,2.83,15.13,29.71,36.99,56.5
21.66,5.68,69.26,5.25,29.08,24.0,50.38,1.04,75.53
1097.54,2.27,41.99,37.56,2.97,74.7,124.85,0.64,160.12
1764.47,3.05,11.16,16.34,106.69,9.67,21.68,37.72,40.3
54.16,29.27,6.97,38.58,11.18,41.57,74.94,7.82,115.26
106.86,9.03,11.66,43.62,126.6,122.38,264.63,8.24,185.24
112.6,2.81,141.69,8.76,4.56,6.64,11.0,12.2,27.65
135.21,4.1,26.62,27.62,7.16,39.83,87.15,6.13,110.88
195.86,3.44,168.42,37.5,52.08,42.94,69.92,53.26,118.7
580.51,7.07,17.81,35.53,2.2,72.37,139.34,12.08,158.89
1478.1,8.78,15.51,30.03,5.26,9.61,16.79,4.72,40.05
2042.59,49.18,18.65,12.47,22.07,8.84,19.88,5.16,36.84
114.81,1.09,18.32,14.08,3.59,55.81,98.34,6.4,150.16
113.63,7.14,9.27,11.0,22.79,44.57,106.15,3.4,122.78
2903.68,5.39,6.37,51.59,14.95,42.54,101.75,40.02,117.69
1064.35,19.04,33.16,30.19,1.98,46.83,79.44,8.36,128.46
456.82,10.54,57.68,31.77,38.91,16.78,35.46,2.29,60.04
820.57,13.33,231.59,8.46,2.68,41.77,66.32,11.08,115.76
385.79,10.43,13.02,32.24,30.74,44.39,83.97,31.16,122.34
886.14,2.91,14.12,54.98,14.21,16.21,35.88,21.34,58.82
243.69,24.81,9.29,7.59,7.06,213.96,462.02,3.46,263.52
603.78,16.42,61.91,21.58,3.23,53.19,113.01,2.44,144.44
41.85,18.46,45.38,9.43,18.09,10.06,17.93,30.79,41.92
143.79,26.16,8.36,23.66,4.28,63.85,119.91,1.46,154.4
146.13,11.22,8.15,16.11,51.91,12.49,20.03,10.71,50.85
230.08,32.49,52.07,44.91,54.24,72.75,161.44,4.18,159.09
100.51,10.78,29.46,37.92,87.4,105.49,211.39,27.49,176.34
181.22,5.94,42.88,93.06,17.07,14.58,32.19,2.57,55.31
41.61,7.34,8.31,31.71,7.5,86.78,151.77,3.33,166.48
918.78,7.21,3.07,43.41,8.53,50.04,91.29,13.69,136.53
356.46,4.4,8.37,21.2,7.81,75.34,138.2,16.37,160.46
31.26,37.78,39.96,13.7,16.41,220.7,336.73,28.78,270.27
115.33,9.94,165.85,64.57,20.57,25.91,47.7,11.86,79.63
668.41,8.12,13.07,89.53,53.4,15.58,35.9,10.48,57.48
178.66,10.89,195.56,58.24,12.48,13.61,32.62,21.1,53.23
141.82,145.45,46.05,36.78,2.26,14.65,29.56,1.88,55.46
360.72,2.38,4.99,15.19,7.47,30.66,59.95,3.07,89.82
675.46,3.17,24.88,82.54,78.81,46.58,71.3,2.04,127.84
46.78,1.86,47.65,52.65,1.88,43.67,103.9,0.5,120.53
920.75,5.86,1.78,167.32,29.58,75.73,114.58,17.15,160.66
121.46,9.45,38.26,13.15,7.62,33.55,82.02,30.87,96.03
392.72,4.64,64.89,66.03,4.22,141.67,281.82,12.88,195.4
382.55,4.31,29.93,51.38,19.58,25.42,46.81,10.81,78.57
182.98,8.52,18.88,25.19,79.29,500.0,600.0,8.04,500.0
86.88,4.47,16.9,98.6,18.33,61.91,94.37,7.81,153.38
262.82,10.08,15.94,45.69,8.89,14.05,29.25,40.25,54.19
4619.29,22.52,6.2,15.65,2.57,11.35,23.25,34.78,47.29
52.33,14.54,10.1,30.12,10.82,53.65,92.24,4.12,145.6
5107.52,17.83,13.24,15.5,2.46,26.48,51.08,22.39,80.87
273.26,21.89,22.5,22.76,8.4,67.63,145.55,25.27,156.39
425.41,9.8,11.51,58.15,11.29,53.16,118.39,14.16,144.36
79.04,6.31,8.42,73.07,0.72,30.79,46.21,10.89,90.11
126.86,3.41,42.94,39.53,64.46,14.2,34.6,10.52,54.51
189.74,5.0,29.1,18.17,2.76,7.28,12.12,1.68,30.33
84.05,4.38,11.71,44.94,9.75,21.19,36.73,1.54,69.5
294.9,15.36,33.32,59.07,23.12,77.98,137.51,16.17,161.84
219.09,10.45,12.77,6.84,58.57,41.02,63.08,2.46,113.87
6478.03,14.83,21.39,36.35,4.71,9.53,15.46,1.84,39.7
70.18,2.32,53.25,28.44,0.6,39.38,97.9,0.93,109.74
470.61,30.93,10.98,71.02,44.45,48.68,88.37,4.59,133.12
585.09,4.82,6.22,45.09,2.72,13.68,22.1,10.74,53.4
81.01,2.46,17.37,48.79,18.75,38.62,62.06,11.65,107.83
1130.3,4.76,5.14,22.52,20.2,35.1,77.9,17.3,99.36
221.96,88.57,15.22,33.16,0.25,10.56,24.86,5.0,44.0
9.6,5.01,15.17,70.45,1.75,47.36,83.21,8.23,129.8
1085.48,5.34,1.71,31.44,7.01,58.02,88.24,17.22,151.33
75.53,6.1,34.15,38.08,0.55,97.81,168.54,11.75,172.29
83.79,6.37,16.73,9.69,2.45,94.99,147.86,4.12,170.81
1132.13,3.38,65.49,31.35,14.12,8.35,13.39,9.97,34.79
239.67,8.53,24.92,6.62,10.96,12.96,25.04,1.02,51.85
1598.24,21.66,41.91,21.91,17.52,55.43,95.88,7.39,149.96
2478.1,10.12,66.03,34.84,20.89,55.36,111.59,3.98,149.89
153.33,2.43,17.61,61.17,1.62,55.43,97.19,33.74,149.96
1325.96,5.24,20.07,14.89,2.61,500.0,600.0,2.78,500.0
129.91,4.26,4.16,44.65,30.38,58.61,141.01,8.3,151.64
11495.07,7.79,69.38,107.21,75.88,103.09,213.06,4.81,175.07
142.67,27.95,17.36,19.83,3.82,85.97,159.43,4.23,166.05
1880.2,6.37,7.35,9.61,16.62,63.52,119.49,10.78,154.23
1430.37,6.77,42.09,41.76,32.09,24.16,46.19,4.86,75.88
648.16,43.71,2.27,12.76,16.2,70.74,157.57,47.09,158.03
147.55,17.75,13.08,17.2,9.04,15.29,29.84,1.03,56.84
321.47,13.12,49.81,69.32,5.65,26.13,61.59,13.89,80.11
15.95,52.36,12.97,148.64,131.94,20.38,49.81,6.79,67.77
564.89,12.06,9.8,14.87,13.67,35.94,65.99,7.03,101.11
681.59,1.01,13.25,18.36,19.43,335.18,600.0,10.0,367.88
492.87,16.99,2.69,23.29,17.98,5.12,8.16,20.04,21.32
4.66,1.5,41.08,21.36,4.6,65.78,111.85,9.63,155.41
60.43,11.61,17.76,155.5,12.95,6.6,12.63,20.11,27.51
131.35,1.33,15.3,21.66,8.28,20.66,35.25,7.74,68.36
624.84,4.63,15.35,24.28,8.1,98.39,233.83,2.63,172.6
622.66,5.14,20.37,120.66,17.82,35.31,58.56,6.76,99.82
312.52,3.42,38.61,52.53,4.06,11.27,22.04,23.4,46.96
1046.15,5.21,19.07,72.87,2.87,16.19,34.1,4.9,58.79
86.54,20.75,5.15,16.04,22.27,65.34,143.22,2.5,155.18
1007.63,3.62,35.71,21.67,6.44,15.95,30.04,13.73,58.27
822.31,12.75,33.07,14.41,8.05,41.12,97.41,10.35,114.12
710.76,2.81,24.67,62.87,1.2,34.66,71.69,3.42,98.41
307.03,6.11,58.86,88.25,38.69,17.26,33.48,5.85,61.07
6286.22,10.21,20.71,20.49,22.85,282.58,442.86,6.16,325.71
845.39,2.73,61.03,24.74,28.49,62.42,122.64,7.44,153.65
94.4,1.99,82.04,25.63,19.39,4.37,10.14,14.11,18.21
585.5,12.08,35.96,9.6,1.98,39.9,84.38,4.93,111.06
1247.29,22.72,9.51,19.32,16.04,17.09,39.85,14.85,60.7
166.97,6.83,17.62,61.47,5.87,77.67,154.87,4.33,161.68
2067.11,4.68,69.33,16.44,3.84,14.99,24.26,39.11,56.2
715.55,8.63,4.49,35.67,22.2,29.53,44.69,39.96,87.39
12.02,7.81,13.57,11.63,89.14,54.87,98.94,3.14,148.67
632.39,9.42,14.25,29.51,73.11,78.71,173.0,2.17,162.23
219.41,0.59,8.46,21.1,25.7,9.97,22.84,19.65,41.55
903.04,2.54,48.08,12.46,11.75,23.7,42.56,9.56,74.89
1662.91,3.17,29.28,62.32,9.41,20.6,41.1,12.83,68.23
540.63,8.59,9.86,65.19,4.11,17.23,33.1,3.84,61.01
4904.35,8.9,36.8,15.25,8.81,193.53,369.75,6.47,243.08
308.57,13.96,17.14,27.86,36.24,49.65,85.96,5.23,135.55
1029.91,9.56,8.25,34.31,108.61,9.39,15.36,10.02,39.1
1349.4,2.01,9.85,7.75,4.57,82.92,140.69,2.13,164.45
348.62,31.41,31.06,10.83,1.11,276.48,430.03,6.69,320.83
1297.46,26.36,51.37,92.67,6.44,92.99,157.9,2.1,169.75
165.34,2.1,12.34,14.12,36.04,7.25,10.94,4.41,30.2
214.04,10.31,34.62,90.61,146.46,20.4,43.41,6.7,67.82
56.33,4.07,97.69,11.29,58.68,117.56,213.53,12.27,182.7
579.47,8.49,5.7,56.1,56.96,16.32,40.36,13.33,59.05
657.13,21.19,28.66,25.82,4.4,51.62,87.42,15.81,140.49
2365.85,62.18,46.09,28.89,4.55,71.85,132.63,1.68,158.62
1321.75,15.66,18.26,146.17,2.49,13.11,24.35,26.16,52.16
263.17,9.92,69.29,12.14,5.48,31.2,47.07,3.88,90.99
68.91,5.26,181.06,53.29,36.49,1.3,3.03,4.17,5.4
772.22,8.87,28.31,51.56,85.57,11.89,18.21,9.67,49.54
2134.8,28.78,15.9,484.76,18.44,25.72,62.77,5.28,79.24
1252.35,7.07,53.36,13.99,8.97,9.51,22.75,10.61,39.62
2052.3,3.05,46.62,20.07,3.39,169.43,344.87,12.77,218.94
293.58,1.46,1.62,63.61,10.64,7.92,16.19,3.44,33.02
200.35,12.34,20.03,28.21,15.55,21.33,45.93,6.15,69.8
133.57,9.46,13.54,22.86,2.1,37.74,71.22,6.33,105.63
370.98,3.87,29.87,71.24,36.81,139.95,300.5,19.26,194.49
358.57,20.61,16.55,26.76,7.33,7.88,12.17,4.64,32.83
550.05,4.85,18.45,16.22,34.25,105.97,164.68,4.44,176.59
332.31,6.46,8.47,59.2,12.02,33.46,65.48,2.66,95.83
330.15,7.27,41.87,44.71,17.4,12.41,25.44,2.98,50.66
125.83,5.2,105.11,25.78,5.25,52.57,125.52,1.91,142.88
1656.44,9.35,8.6,24.82,8.06,40.41,64.84,3.66,112.33
452.5,23.37,4.97,15.93,26.32,18.17,42.2,36.36,63.03
310.55,2.36,20.49,59.15,10.4,35.51,60.72,14.75,100.02
131.48,12.04,19.52,24.83,3.24,22.53,42.67,26.51,72.37
54.71,8.78,64.78,17.89,13.93,37.1,67.39,2.86,104.01
2869.65,8.62,5.88,11.84,19.35,64.21,122.01,1.05,154.59
927.0,17.67,11.73,45.32,63.27,161.74,266.96,10.14,211.26
35.31,7.76,2.35,22.05,48.57,9.6,19.24,47.16,40.02
1267.39,11.94,79.44,6.62,11.27,279.51,600.0,4.55,323.25
1609.57,15.12,25.8,12.65,6.32,4.7,9.13,8.18,19.59
486.17,4.46,12.64,27.47,9.26,28.45,56.64,1.54,85.09
4434.48,9.97,5.35,28.09,6.5,59.64,140.08,7.6,152.18
558.4,5.75,5.87,27.25,22.36,43.86,96.76,6.52,121.0
48.17,6.47,30.39,24.38,42.52,17.77,35.36,0.91,62.16
697.68,5.35,6.64,10.17,53.94,26.89,47.27,2.62,81.75
582.51,11.84,22.29,16.45,7.43,20.23,48.24,2.42,67.44
163.21,8.02,154.93,85.37,6.59,18.37,38.15,1.52,63.45
953.69,10.96,14.19,75.87,7.36,77.45,133.3,3.58,161.56
33.07,7.26,7.68,52.58,1.2,47.32,83.72,12.29,129.71
1782.64,1.49,29.43,48.99,2.88,16.56,38.14,3.92,59.57
108.07,7.62,5.9,68.29,11.69,81.42,125.72,23.3,163.66
92.07,7.87,112.17,13.51,19.2,45.03,112.22,5.14,123.94
340.11,9.42,81.75,34.0,21.96,74.65,121.71,10.24,160.09
772.37,4.08,17.04,13.51,4.78,62.15,142.71,12.15,153.51
515.89,2.24,8.19,13.7,6.76,14.45,27.39,34.26,55.05
132.42,13.8,13.12,44.45,8.82,18.91,37.68,3.61,64.62
188.83,5.62,14.94,70.63,7.71,69.92,166.45,11.5,157.6
73.73,8.77,29.48,28.36,27.82,60.97,116.63,2.87,152.88
288.01,5.58,56.81,123.87,2.53,32.43,66.08,41.35,93.63
2023.39,7.34,7.12,39.23,3.07,37.24,57.69,2.61,104.37
400.86,4.71,55.2,17.79,8.52,118.83,178.52,10.84,183.36
1464.28,2.81,37.25,13.88,2.37,18.33,31.98,35.14,63.36
3579.94,11.87,12.09,74.78,1.25,57.23,124.8,2.23,150.91
167.0,4.04,6.78,36.7,2.03,27.05,43.86,13.4,82.09
304.95,8.71,22.56,56.87,9.1,26.64,42.99,2.74,81.2
10475.45,11.14,6.96,3.95,25.96,99.36,189.88,75.82,173.11
3521.05,4.11,55.91,40.28,26.62,75.6,162.37,1.11,160.59
32.83,2.22,6.53,21.99,81.9,74.7,165.25,1.62,160.12
721.06,83.6,34.73,10.86,13.76,122.18,205.07,2.41,185.13
403.77,4.36,18.53,31.5,16.17,33.82,53.42,2.49,96.61
1393.65,13.78,11.47,79.32,9.02,65.49,159.83,12.44,155.27
131.96,51.39,18.12,202.95,9.56,24.28,42.75,44.69,76.14
114.5,16.28,59.14,40.19,147.92,45.79,107.77,23.46,125.87
146.33,5.47,6.1,18.78,16.67,29.07,68.72,9.34,86.43
171.08,6.91,13.3,17.89,18.5,36.49,82.92,7.46,102.48
1370.58,3.21,9.47,71.56,3.08,60.05,100.21,4.03,152.4
68.59,17.84,19.32,14.92,19.94,14.61,33.92,10.93,55.39
158.55,13.02,10.13,54.49,26.84,268.38,600.0,6.0,314.33
27.56,4.42,3.43,41.89,46.17,12.11,25.39,8.93,50.02
1827.45,2.61,6.99,38.34,25.95,9.83,18.07,3.52,40.97
2714.99,1.97,103.31,9.45,10.46,105.44,185.83,2.22,176.31
247.0,19.82,25.71,24.89,9.94,73.09,118.54,7.58,159.27
258.03,8.33,24.84,10.31,11.17,61.81,124.23,7.41,153.33
796.19,9.16,15.14,20.68,13.85,62.08,129.44,4.07,153.46
3683.88,3.24,19.07,68.97,55.77,32.71,60.82,3.43,94.23
744.65,1.71,13.07,88.66,44.13,13.5,26.67,12.92,53.01
141.7,19.35,34.02,39.3,30.07,35.72,66.57,11.65,100.56
35.58,7.71,22.22,20.98,139.08,16.82,36.02,48.26,60.14
75.74,18.31,6.23,117.98,0.5,87.81,210.84,29.4,167.02
450.26,5.02,25.89,20.76,7.01,28.59,47.57,2.24,85.38
150.96,5.83,1.72,13.35,12.02,14.51,27.29,6.11,55.16
540.48,15.08,30.38,57.81,5.44,24.01,39.4,1.89,75.57
176.02,15.37,4.91,47.76,3.99,50.05,106.34,1.17,136.55
82.5,16.4,18.25,21.45,1.55,18.85,42.0,66.39,64.48
69.02,5.5,6.08,35.88,8.38,14.55,35.39,32.47,55.26
4202.91,13.66,20.14,47.17,35.62,42.25,75.16,3.94,116.97
1530.7,22.4,35.81,38.98,30.84,42.31,103.66,25.62,117.1
5408.77,6.65,90.27,47.81,4.94,19.95,31.18,29.72,66.84
906.8,4.42,4.3,22.1,15.87,20.68,43.48,1.08,68.4
211.67,28.3,53.28,50.45,62.12,41.76,65.03,17.3,115.74
2936.61,3.84,22.9,33.58,1.97,7.78,18.63,4.52,32.43
383.91,13.87,12.8,22.7,10.07,8.11,16.45,10.84,33.77
561.87,6.97,42.94,27.2,17.18,16.14,35.02,149.88,58.68
378.33,1.17,15.86,30.62,12.33,26.75,62.37,36.07,81.44
4.85,22.84,41.16,10.42,33.81,45.19,74.58,6.5,124.35
4478.76,0.47,7.45,19.9,2.02,144.8,222.79,30.62,197.05
842.61,1.02,10.67,34.88,3.64,78.07,185.73,1.08,161.89
661.65,12.52,51.6,11.24,27.62,28.22,51.22,12.23,84.59
367.73,12.52,88.71,20.17,1.58,32.49,52.93,12.52,93.76
515.5,3.91,19.39,223.12,32.27,12.15,23.92,14.96,50.11
164.69,8.57,1.24,13.42,20.9,32.51,68.21,4.44,93.79
1017.26,0.59,16.46,24.36,29.67,24.81,37.99,10.83,77.28
56.79,14.98,20.75,17.0,6.94,45.73,81.16,17.39,125.7
533.31,9.49,15.91,30.16,22.46,14.48,22.19,0.72,55.11
936.7,7.06,28.12,17.25,2.98,55.66,106.89,5.39,150.09
299.46,7.54,12.47,27.26,7.41,153.35,367.29,2.99,202.86
703.66,12.1,46.47,18.64,12.73,29.7,73.74,14.33,87.77
91.19,7.18,6.25,77.02,4.14,49.49,105.76,29.31,135.14
94.75,1.13,69.19,35.35,15.83,66.03,109.72,4.01,155.55
575.41,66.44,94.64,14.84,3.09,22.17,53.34,2.49,71.61
1116.36,24.55,8.06,64.89,16.82,41.43,83.54,8.31,114.91
24.23,2.04,8.06,15.38,98.52,33.54,55.46,2.33,96.0
882.74,5.23,30.29,9.48,2.7,36.51,88.43,5.89,102.55
178.61,5.84,6.13,33.03,11.86,15.29,34.51,5.3,56.84
302.11,21.73,12.27,152.29,1.75,33.94,75.74,13.2,96.86
54.09,0.85,60.49,7.67,4.48,54.49,120.38,10.13,147.71
112.46,4.49,42.0,11.42,28.29,141.34,240.32,8.68,195.22
1718.47,1.27,145.5,60.46,7.27,86.42,147.87,37.97,166.29
423.81,5.56,23.83,19.81,29.69,285.2,600.0,9.68,327.81
227.2,4.61,10.9,54.03,18.67,15.37,26.44,4.87,57.02
338.75,8.0,21.14,16.95,11.27,79.23,153.6,5.5,162.5
840.35,4.04,17.28,37.1,3.54,39.78,90.78,3.44,110.75
781.13,3.49,17.52,133.7,27.73,295.84,600.0,2.67,336.34
360.49,13.73,19.61,12.73,17.55,14.76,28.82,1.84,55.7
2078.58,11.64,7.91,75.11,1.95,14.3,32.78,22.97,54.72
1729.68,12.83,26.63,57.04,3.83,18.19,42.53,3.6,63.06
749.99,6.19,4.91,10.06,0.44,3.96,8.53,10.13,16.5
437.87,4.17,9.81,51.79,2.37,19.57,33.83,5.47,66.04
